,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
37340,2012,AZ,Total Electric Power Industry,Coal,40115665.0,40.115665
37341,2012,AZ,Total Electric Power Industry,Pumped Storage,79445.0,0.079445
37342,2012,AZ,Total Electric Power Industry,Hydroelectric Conventional,6716934.0,6.716934
37343,2012,AZ,Total Electric Power Industry,Natural Gas,30295010.0,30.29501
37344,2012,AZ,Total Electric Power Industry,Nuclear,31933916.0,31.933916
37345,2012,AZ,Total Electric Power Industry,Other,24459.0,0.024459
37346,2012,AZ,Total Electric Power Industry,Petroleum,41912.0,0.041912
37347,2012,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,955443.0,0.955443
37348,2012,AZ,Total Electric Power Industry,Other Biomass,53872.0,0.053872
37349,2012,AZ,Total Electric Power Industry,Wind,531640.0,0.53164
37350,2012,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,156697.0,0.156697
39326,2013,AZ,Total Electric Power Industry,Total,113325986.12,113.32598612000001
39327,2013,AZ,Total Electric Power Industry,Coal,43492375.81,43.492375810000006
39328,2013,AZ,Total Electric Power Industry,Hydroelectric Conventional,5914658.0,5.914658
39329,2013,AZ,Total Electric Power Industry,Natural Gas,29684631.29,29.68463129
39330,2013,AZ,Total Electric Power Industry,Nuclear,31431080.0,31.43108
39331,2013,AZ,Total Electric Power Industry,Other,3361.48,0.00336148
39332,2013,AZ,Total Electric Power Industry,Other Biomass,69133.56,0.06913356
39333,2013,AZ,Total Electric Power Industry,Petroleum,42964.77,0.04296477
39334,2013,AZ,Total Electric Power Industry,Pumped Storage,24271.0,0.024271
39335,2013,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,2111438.64,2.1114386400000003
39336,2013,AZ,Total Electric Power Industry,Wind,449764.0,0.449764
39337,2013,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,102307.57,0.10230757
41348,2014,AZ,Total Electric Power Industry,Total,112257187.0,112.257187
41349,2014,AZ,Total Electric Power Industry,Coal,42665011.0,42.665011
41350,2014,AZ,Total Electric Power Industry,Pumped Storage,13892.0,0.013892
41351,2014,AZ,Total Electric Power Industry,Hydroelectric Conventional,6118261.0,6.118261
41352,2014,AZ,Total Electric Power Industry,Natural Gas,27241879.0,27.241879
41353,2014,AZ,Total Electric Power Industry,Nuclear,32320917.0,32.320917
41354,2014,AZ,Total Electric Power Industry,Other,0.0,0.0
41355,2014,AZ,Total Electric Power Industry,Petroleum,56862.0,0.056862
41356,2014,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,3141508.0,3.141508
41357,2014,AZ,Total Electric Power Industry,Other Biomass,61053.0,0.061053
41358,2014,AZ,Total Electric Power Industry,Wind,468115.0,0.468115
41359,2014,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,169690.0,0.16969
43406,2015,AZ,Total Electric Power Industry,Total,113142048.0,113.142048
43407,2015,AZ,Total Electric Power Industry,Coal,36167169.0,36.167169
43408,2015,AZ,Total Electric Power Industry,Pumped Storage,73070.0,0.07307
43409,2015,AZ,Total Electric Power Industry,Hydroelectric Conventional,6535722.0,6.535722
43410,2015,AZ,Total Electric Power Industry,Natural Gas,33657102.0,33.657102
43411,2015,AZ,Total Electric Power Industry,Nuclear,32525595.0,32.525595
43412,2015,AZ,Total Electric Power Industry,Petroleum,48118.0,0.048118
43413,2015,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,3456608.0,3.456608
43414,2015,AZ,Total Electric Power Industry,Other Biomass,49644.0,0.049644
43415,2015,AZ,Total Electric Power Industry,Wind,452035.0,0.452035
43416,2015,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,176984.0,0.176984
45458,2016,AZ,Total Electric Power Industry,Total,108763449.0,108.763449
45459,2016,AZ,Total Electric Power Industry,Coal,30403392.0,30.403392
45460,2016,AZ,Total Electric Power Industry,Pumped Storage,58630.0,0.05863
45461,2016,AZ,Total Electric Power Industry,Hydroelectric Conventional,7167763.0,7.167763
45462,2016,AZ,Total Electric Power Industry,Natural Gas,34182808.0,34.182808
45463,2016,AZ,Total Electric Power Industry,Nuclear,32377477.0,32.377477
45464,2016,AZ,Total Electric Power Industry,Petroleum,51595.0,0.051595
45465,2016,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,3765825.0,3.765825
45466,2016,AZ,Total Electric Power Industry,Other Biomass,38242.0,0.038242
45467,2016,AZ,Total Electric Power Industry,Wind,541582.0,0.541582
45468,2016,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,176136.0,0.176136
47532,2017,AZ,Total Electric Power Industry,Total,105851765.0,105.851765
47533,2017,AZ,Total Electric Power Industry,Coal,31396138.0,31.396138
47534,2017,AZ,Total Electric Power Industry,Pumped Storage,-45830.0,-0.04583
47535,2017,AZ,Total Electric Power Industry,Hydroelectric Conventional,6831891.0,6.831891
47536,2017,AZ,Total Electric Power Industry,Natural Gas,29590699.0,29.590699
47537,2017,AZ,Total Electric Power Industry,Nuclear,32340138.0,32.340138
47538,2017,AZ,Total Electric Power Industry,Other,-1186.0,-0.001186
47539,2017,AZ,Total Electric Power Industry,Petroleum,56729.0,0.056729
47540,2017,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,4942001.0,4.942001
47541,2017,AZ,Total Electric Power Industry,Other Biomass,38730.0,0.03873
47542,2017,AZ,Total Electric Power Industry,Wind,569934.0,0.569934
47543,2017,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,132521.0,0.132521
49627,2018,AZ,Total Electric Power Industry,Total,111925144.0,111.925144
49628,2018,AZ,Total Electric Power Industry,Coal,30744623.0,30.744623
49629,2018,AZ,Total Electric Power Industry,Pumped Storage,-4526.0,-0.004526
49630,2018,AZ,Total Electric Power Industry,Hydroelectric Conventional,6982242.0,6.982242
49631,2018,AZ,Total Electric Power Industry,Natural Gas,37168075.0,37.168075
49632,2018,AZ,Total Electric Power Industry,Nuclear,31097259.0,31.097259
49633,2018,AZ,Total Electric Power Industry,Other,-2536.0,-0.002536
49634,2018,AZ,Total Electric Power Industry,Petroleum,49946.0,0.049946
49635,2018,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,5140377.0,5.140377
49636,2018,AZ,Total Electric Power Industry,Other Biomass,37375.0,0.037375
49637,2018,AZ,Total Electric Power Industry,Wind,530190.0,0.53019
49638,2018,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,182120.0,0.18212
51744,2019,AZ,Total Electric Power Industry,Total,113551987.0,113.551987
51745,2019,AZ,Total Electric Power Industry,Coal,23217974.0,23.217974
51746,2019,AZ,Total Electric Power Industry,Pumped Storage,2473.0,0.002473
51747,2019,AZ,Total Electric Power Industry,Hydroelectric Conventional,6204439.0,6.204439
51748,2019,AZ,Total Electric Power Industry,Natural Gas,46084367.0,46.084367
51749,2019,AZ,Total Electric Power Industry,Nuclear,31920368.0,31.920368
51750,2019,AZ,Total Electric Power Industry,Other,-4442.0,-0.004442
51751,2019,AZ,Total Electric Power Industry,Petroleum,63748.0,0.063748
51752,2019,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,5278019.0,5.278019
51753,2019,AZ,Total Electric Power Industry,Other Biomass,30666.0,0.030666
51754,2019,AZ,Total Electric Power Industry,Wind,554374.0,0.554374
51755,2019,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,200001.0,0.200001
53866,2020,AZ,Total Electric Power Industry,Total,109305057.0,109.305057
53867,2020,AZ,Total Electric Power Industry,Coal,13747253.0,13.747253
53868,2020,AZ,Total Electric Power Industry,Pumped Storage,62251.0,0.062251
53869,2020,AZ,Total Electric Power Industry,Hydroelectric Conventional,6423600.0,6.4236
53870,2020,AZ,Total Electric Power Industry,Natural Gas,50777570.0,50.77757
53871,2020,AZ,Total Electric Power Industry,Nuclear,31552433.0,31.552433
53872,2020,AZ,Total Electric Power Industry,Other,-2892.0,-0.002892
53873,2020,AZ,Total Electric Power Industry,Petroleum,40405.0,0.040405
53874,2020,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,5837443.0,5.837443
53875,2020,AZ,Total Electric Power Industry,Other Biomass,21628.0,0.021628
53876,2020,AZ,Total Electric Power Industry,Wind,644160.0,0.64416
53877,2020,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,201205.0,0.201205
55997,2021,AZ,Total Electric Power Industry,Total,108604620.0,108.60462
55998,2021,AZ,Total Electric Power Industry,Coal,14300572.0,14.300572
55999,2021,AZ,Total Electric Power Industry,Pumped Storage,90895.0,0.090895
56000,2021,AZ,Total Electric Power Industry,Hydroelectric Conventional,5972854.0,5.972854
56001,2021,AZ,Total Electric Power Industry,Natural Gas,48053133.0,48.053133
56002,2021,AZ,Total Electric Power Industry,Nuclear,31629862.0,31.629862
56003,2021,AZ,Total Electric Power Industry,Other,-7543.0,-0.007543
56004,2021,AZ,Total Electric Power Industry,Petroleum,43534.0,0.043534
56005,2021,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,6710877.0,6.710877
56006,2021,AZ,Total Electric Power Industry,Other Biomass,19470.0,0.01947
56007,2021,AZ,Total Electric Power Industry,Wind,1600319.0,1.600319
56008,2021,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,190646.0,0.190646
58123,2022,AZ,Total Electric Power Industry,Total,104698773.0,104.698773
58124,2022,AZ,Total Electric Power Industry,Coal,13449468.0,13.449468
58125,2022,AZ,Total Electric Power Industry,Pumped Storage,96987.0,0.096987
58126,2022,AZ,Total Electric Power Industry,Hydroelectric Conventional,5297590.0,5.29759
58127,2022,AZ,Total Electric Power Industry,Natural Gas,45053245.0,45.053245
58128,2022,AZ,Total Electric Power Industry,Nuclear,31942793.0,31.942793
58129,2022,AZ,Total Electric Power Industry,Other,-11206.0,-0.011206
58130,2022,AZ,Total Electric Power Industry,Petroleum,32204.0,0.032204
58131,2022,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,7069079.0,7.069079
58132,2022,AZ,Total Electric Power Industry,Other Biomass,18605.0,0.018605
58133,2022,AZ,Total Electric Power Industry,Wind,1564348.0,1.564348
58134,2022,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,185661.0,0.185661
