YEAR,STATE,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
2017,AZ,Solar Thermal and Photovoltaic,4942001,4.942001
2017,AZ,Other Biomass,38730,0.03873
2017,AZ,Wind,569934,0.569934
2017,AZ,Wood and Wood Derived Fuels,132521,0.132521
2018,AZ,Total,111925144,111.925144
2018,AZ,Coal,30744623,30.744623
2018,AZ,Pumped Storage,-4526,-0.004526
2018,AZ,Hydroelectric Conventional,6982242,6.982242
2018,AZ,Natural Gas,37168075,37.168075
2018,AZ,Nuclear,31097259,31.097259
2018,AZ,Other,-2536,-0.002536
2018,AZ,Petroleum,49946,0.049946
2018,AZ,Solar Thermal and Photovoltaic,5140377,5.140377
2018,AZ,Other Biomass,37375,0.037375
2018,AZ,Wind,530190,0.53019
2018,AZ,Wood and Wood Derived Fuels,182120,0.18212
2019,AZ,Total,113551987,113.551987
2019,AZ,Coal,23217974,23.217974
2019,AZ,Pumped Storage,2473,0.002473
2019,AZ,Hydroelectric Conventional,6204439,6.204439
2019,AZ,Natural Gas,46084367,46.084367
2019,AZ,Nuclear,31920368,31.920368
2019,AZ,Other,-4442,-0.004442
2019,AZ,Petroleum,63748,0.063748
2019,AZ,Solar Thermal and Photovoltaic,5278019,5.278019
2019,AZ,Other Biomass,30666,0.030666
2019,AZ,Wind,554374,0.554374
2019,AZ,Wood and Wood Derived Fuels,200001,0.200001
2020,AZ,Total,109305057,109.305057
2020,AZ,Coal,13747253,13.747253
2020,AZ,Pumped Storage,62251,0.062251
2020,AZ,Hydroelectric Conventional,6423600,6.4236
2020,AZ,Natural Gas,50777570,50.77757
2020,AZ,Nuclear,31552433,31.552433
2020,AZ,Other,-2892,-0.002892
2020,AZ,Petroleum,40405,0.040405
2020,AZ,Solar Thermal and Photovoltaic,5837443,5.837443
2020,AZ,Other Biomass,21628,0.021628
2020,AZ,Wind,644160,0.64416
2020,AZ,Wood and Wood Derived Fuels,201205,0.201205
2021,AZ,Total,108604620,108.60462
2021,AZ,Coal,14300572,14.300572
2021,AZ,Pumped Storage,90895,0.090895
2021,AZ,Hydroelectric Conventional,5972854,5.972854
2021,AZ,Natural Gas,48053133,48.053133
2021,AZ,Nuclear,31629862,31.629862
2021,AZ,Other,-7543,-0.007543
2021,AZ,Petroleum,43534,0.043534
2021,AZ,Solar Thermal and Photovoltaic,6710877,6.710877
2021,AZ,Other Biomass,19470,0.01947
2021,AZ,Wind,1600319,1.600319
2021,AZ,Wood and Wood Derived Fuels,190646,0.190646
2022,AZ,Total,104698773,104.698773
2022,AZ,Coal,13449468,13.449468
2022,AZ,Pumped Storage,96987,0.096987
2022,AZ,Hydroelectric Conventional,5297590,5.29759
2022,AZ,Natural Gas,45053245,45.053245
2022,AZ,Nuclear,31942793,31.942793
2022,AZ,Other,-11206,-0.011206
2022,AZ,Petroleum,32204,0.032204
2022,AZ,Solar Thermal and Photovoltaic,7069079,7.069079
2022,AZ,Other Biomass,18605,0.018605
2022,AZ,Wind,1564348,1.564348
2022,AZ,Wood and Wood Derived Fuels,185661,0.185661
