,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
58622,2022,IN,Total Electric Power Industry,Natural Gas,32120898.0,32.120898
58623,2022,IN,Total Electric Power Industry,Other Gases,2144536.0,2.144536
58624,2022,IN,Total Electric Power Industry,Other,467325.0,0.467325
58625,2022,IN,Total Electric Power Industry,Petroleum,113805.0,0.113805
58626,2022,IN,Total Electric Power Industry,Solar Thermal and Photovoltaic,1082280.0,1.08228
58627,2022,IN,Total Electric Power Industry,Other Biomass,385915.0,0.385915
58628,2022,IN,Total Electric Power Industry,Wind,9985205.0,9.985205
58629,2022,IN,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,0.0
58665,2022,KS,Total Electric Power Industry,Total,62197529.0,62.197529
58666,2022,KS,Total Electric Power Industry,Coal,20229360.0,20.22936
58667,2022,KS,Total Electric Power Industry,Hydroelectric Conventional,23668.0,0.023668
58668,2022,KS,Total Electric Power Industry,Natural Gas,3362557.0,3.362557
58669,2022,KS,Total Electric Power Industry,Nuclear,8981959.0,8.981959
58670,2022,KS,Total Electric Power Industry,Other,829.0,0.000829
58671,2022,KS,Total Electric Power Industry,Petroleum,-223550.0,-0.22355
58672,2022,KS,Total Electric Power Industry,Solar Thermal and Photovoltaic,74391.0,0.074391
58673,2022,KS,Total Electric Power Industry,Other Biomass,60836.0,0.060836
58674,2022,KS,Total Electric Power Industry,Wind,29687479.0,29.687479
58693,2022,KY,Total Electric Power Industry,Total,69147329.0,69.147329
58694,2022,KY,Total Electric Power Industry,Coal,47053327.0,47.053327
58695,2022,KY,Total Electric Power Industry,Hydroelectric Conventional,4529831.0,4.529831
58696,2022,KY,Total Electric Power Industry,Natural Gas,16917627.0,16.917627
58697,2022,KY,Total Electric Power Industry,Other,54173.0,0.054173
58698,2022,KY,Total Electric Power Industry,Petroleum,97953.0,0.097953
58699,2022,KY,Total Electric Power Industry,Solar Thermal and Photovoltaic,46853.0,0.046853
58700,2022,KY,Total Electric Power Industry,Other Biomass,105024.0,0.105024
58701,2022,KY,Total Electric Power Industry,Wood and Wood Derived Fuels,342541.0,0.342541
58721,2022,LA,Total Electric Power Industry,Total,105504849.0,105.504849
58722,2022,LA,Total Electric Power Industry,Coal,8172863.0,8.172863
58723,2022,LA,Total Electric Power Industry,Hydroelectric Conventional,916066.0,0.916066
58724,2022,LA,Total Electric Power Industry,Natural Gas,72275007.0,72.275007
58725,2022,LA,Total Electric Power Industry,Nuclear,16164721.0,16.164721
58726,2022,LA,Total Electric Power Industry,Other Gases,1881531.0,1.881531
58727,2022,LA,Total Electric Power Industry,Other,715174.0,0.715174
58728,2022,LA,Total Electric Power Industry,Petroleum,3106634.0,3.106634
58729,2022,LA,Total Electric Power Industry,Solar Thermal and Photovoltaic,196173.0,0.196173
58730,2022,LA,Total Electric Power Industry,Other Biomass,79784.0,0.079784
58731,2022,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,1996897.0,1.996897
58758,2022,MA,Total Electric Power Industry,Total,21026161.0,21.026161
58759,2022,MA,Total Electric Power Industry,Coal,0.0,0.0
58760,2022,MA,Total Electric Power Industry,Pumped Storage,-399573.0,-0.399573
58761,2022,MA,Total Electric Power Industry,Hydroelectric Conventional,877145.0,0.877145
58762,2022,MA,Total Electric Power Industry,Natural Gas,15775967.0,15.775967
58763,2022,MA,Total Electric Power Industry,Other,929797.0,0.929797
58764,2022,MA,Total Electric Power Industry,Petroleum,756062.0,0.756062
58765,2022,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,1934184.0,1.934184
58766,2022,MA,Total Electric Power Industry,Other Biomass,891813.0,0.891813
58767,2022,MA,Total Electric Power Industry,Wind,215680.0,0.21568
58768,2022,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,45086.0,0.045086
58805,2022,MD,Total Electric Power Industry,Total,37139365.0,37.139365
58806,2022,MD,Total Electric Power Industry,Coal,4639314.0,4.639314
58807,2022,MD,Total Electric Power Industry,Hydroelectric Conventional,1779682.0,1.779682
58808,2022,MD,Total Electric Power Industry,Natural Gas,13949642.0,13.949642
58809,2022,MD,Total Electric Power Industry,Nuclear,14810684.0,14.810684
58810,2022,MD,Total Electric Power Industry,Other,293570.0,0.29357
58811,2022,MD,Total Electric Power Industry,Petroleum,142864.0,0.142864
58812,2022,MD,Total Electric Power Industry,Solar Thermal and Photovoltaic,713532.0,0.713532
58813,2022,MD,Total Electric Power Industry,Other Biomass,305614.0,0.305614
58814,2022,MD,Total Electric Power Industry,Wind,497608.0,0.497608
58815,2022,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,6856.0,0.006856
58847,2022,ME,Total Electric Power Industry,Total,12763920.0,12.76392
58848,2022,ME,Total Electric Power Industry,Coal,42442.0,0.042442
58849,2022,ME,Total Electric Power Industry,Hydroelectric Conventional,3063335.0,3.063335
58850,2022,ME,Total Electric Power Industry,Natural Gas,4142680.0,4.14268
58851,2022,ME,Total Electric Power Industry,Other,280464.0,0.280464
58852,2022,ME,Total Electric Power Industry,Petroleum,274269.0,0.274269
58853,2022,ME,Total Electric Power Industry,Solar Thermal and Photovoltaic,431687.0,0.431687
58854,2022,ME,Total Electric Power Industry,Other Biomass,82112.0,0.082112
58855,2022,ME,Total Electric Power Industry,Wind,2716384.0,2.716384
58856,2022,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,1730547.0,1.730547
58889,2022,MI,Total Electric Power Industry,Total,117497052.0,117.497052
58890,2022,MI,Total Electric Power Industry,Coal,34482187.0,34.482187
58891,2022,MI,Total Electric Power Industry,Pumped Storage,-868131.0,-0.868131
58892,2022,MI,Total Electric Power Industry,Hydroelectric Conventional,1385924.0,1.385924
58893,2022,MI,Total Electric Power Industry,Natural Gas,41183784.0,41.183784
58894,2022,MI,Total Electric Power Industry,Nuclear,26013361.0,26.013361
58895,2022,MI,Total Electric Power Industry,Other Gases,1329565.0,1.329565
58896,2022,MI,Total Electric Power Industry,Other,146993.0,0.146993
58897,2022,MI,Total Electric Power Industry,Petroleum,1554886.0,1.554886
58898,2022,MI,Total Electric Power Industry,Solar Thermal and Photovoltaic,859379.0,0.859379
58899,2022,MI,Total Electric Power Industry,Other Biomass,784317.0,0.784317
58900,2022,MI,Total Electric Power Industry,Wind,9151179.0,9.151179
58901,2022,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,1473609.0,1.473609
58945,2022,MN,Total Electric Power Industry,Total,58966891.0,58.966891
58946,2022,MN,Total Electric Power Industry,Coal,16158695.0,16.158695
58947,2022,MN,Total Electric Power Industry,Hydroelectric Conventional,950434.0,0.950434
58948,2022,MN,Total Electric Power Industry,Natural Gas,8736084.0,8.736084
58949,2022,MN,Total Electric Power Industry,Nuclear,14696205.0,14.696205
58950,2022,MN,Total Electric Power Industry,Other,307788.0,0.307788
58951,2022,MN,Total Electric Power Industry,Petroleum,-61477.0,-0.061477
58952,2022,MN,Total Electric Power Industry,Solar Thermal and Photovoltaic,1901260.0,1.90126
58953,2022,MN,Total Electric Power Industry,Other Biomass,298601.0,0.298601
58954,2022,MN,Total Electric Power Industry,Wind,15091227.0,15.091227
58955,2022,MN,Total Electric Power Industry,Wood and Wood Derived Fuels,888074.0,0.888074
58995,2022,MO,Total Electric Power Industry,Total,79361031.0,79.361031
58996,2022,MO,Total Electric Power Industry,Coal,52832377.0,52.832377
